x,y,velo
29.415737,25.425879,5.463744
29.543453,25.545095,4.367769
29.666164,25.737494,5.705007
29.764729,25.97303,6.383204
29.996517,26.290716,9.831401
30.213846,26.471939,7.074294
30.41712,26.709948,7.825004
30.492376,26.985167,7.133064
30.733292,27.351645,10.964314
30.929041,27.506636,6.242013
31.160433,27.802914,9.398219
31.248186,28.011967,5.668115
31.392223,28.299084,8.0305
31.673882,28.631241,10.887488
31.857548,28.816265,6.517616
32.034966,29.046612,7.268847
32.195541,29.332773,8.203392
32.303066,29.516449,5.32084
32.449459,29.728563,6.443159
32.592724,29.938589,6.355896
32.760784,30.138069,6.520949
32.891182,30.222103,3.878251
33.090046,30.436546,7.311497
33.30072,30.733028,9.092752
33.460442,30.87928,5.414166
33.747437,31.049345,8.33998
33.979218,31.151863,6.336038
34.202759,31.384109,8.058722
34.359097,31.578362,6.233747
34.621727,31.775509,8.209818
34.876911,31.863335,6.746903
35.088329,31.966183,5.877664
35.315723,32.190666,7.988298
35.454098,32.298183,4.380871
35.672523,32.452156,6.681001
35.871387,32.55954,5.65011
36.069725,32.654625,5.498844
36.222473,32.746544,4.456757
36.367443,32.85659,4.550216
36.493698,32.96534,4.165827
36.63488,33.075554,4.477703
36.720631,33.156631,2.950275
36.810829,33.210331,2.624328
36.987732,33.317753,5.174098
37.12759,33.415131,4.260458
37.230064,33.480179,3.034501
37.357925,33.577785,4.021417
37.458103,33.657692,3.203572
37.556599,33.710037,2.788525
37.6908,33.787186,3.86995
37.733292,33.816143,1.285507
37.847355,33.863083,3.083574
37.933014,33.882214,2.194242
38.000137,33.902493,1.752982
38.10321,33.962471,2.981324
38.151043,33.962357,1.195843
38.180489,33.962254,0.736144
38.266796,34.013298,2.50679
38.369244,34.066864,2.890222
38.400433,34.067059,0.779685
38.467918,34.109791,1.99691
38.538883,34.169048,2.311303
38.609051,34.206779,1.991737
38.663136,34.22279,1.410153
38.742409,34.270096,2.307852
38.780422,34.304501,1.281717
38.827133,34.366802,1.946727
38.852207,34.44775,2.118623
38.884357,34.565434,3.049821
38.891785,34.633366,1.708414
38.923195,34.735409,2.669225
38.986168,34.848209,3.229749
39.011848,34.954124,2.724552
39.050289,35.014629,1.792086
39.104816,35.136246,3.33197
39.111641,35.154224,0.480848
39.136639,35.223736,1.84667
39.147705,35.331203,2.700917
39.168858,35.434719,2.641363
39.184708,35.521812,2.21311
39.189346,35.63483,2.827813
39.196285,35.725132,2.264234
39.210735,35.811596,2.191573
39.226902,35.889156,1.98061
39.25251,35.963707,1.97072
39.23193,36.012363,1.320822
39.162643,36.081806,2.4523
39.032753,36.227989,4.888839
38.911392,36.320705,3.818085
38.847683,36.413651,2.817131
38.763138,36.552086,4.055249
38.712608,36.648506,2.72148
38.633011,36.769386,3.618334
38.57399,36.848824,2.474056
38.513206,36.954655,3.051112
38.484344,36.989933,1.139492
38.427109,37.077377,2.612778
38.408775,37.108963,0.913022
38.34428,37.20451,2.881929
38.26783,37.301144,3.080495
38.230976,37.352283,1.575921
38.17675,37.455662,2.918389
38.134972,37.509342,1.700565
38.077652,37.601292,2.708817
38.036182,37.658028,1.756877
37.98634,37.710514,1.809532
37.934143,37.777882,2.130607
37.881756,37.852226,2.273615
37.838352,37.910671,1.820076
37.772381,37.974335,2.291974
37.690525,38.072903,3.2031
37.659203,38.126118,1.543737
37.581657,38.230019,3.241131
37.500969,38.354942,3.717937
37.458385,38.426418,2.080016
37.381184,38.523827,3.107313
37.342777,38.589092,1.893188
37.298317,38.680447,2.539967
37.244381,38.715298,1.605393
37.187447,38.782745,2.20662
37.07983,38.904003,4.053168
